Model,Loss,Flat,Const.,Obj.,Nat.,Sky,Hum.,Veh.,mIoU
deeplabv3plus,CrossEntropy,0.78,0.49,0.36,0.69,0.9,0.4,0.48,0.53
deeplabv3plus,CrossEntropy,87.17,79.06,33.97,84.24,89.51,48.54,75.59,52.7
deeplabv3plus,CrossEntropy,95.96,84.71,37.23,87.22,89.51,53.75,80.7,52.7
deeplabv3plus,CrossEntropy,95.96,84.71,37.23,87.22,89.51,53.75,80.7,52.7
deeplabv3plus,CrossEntropy,95.85,82.72,32.95,85.97,87.77,51.79,77.95,44.01
deeplabv3plus,CrossEntropy,96.01,84.06,34.61,86.84,89.37,52.93,79.21,47.21
deeplabv3plus,CrossEntropy,95.76,82.01,29.79,85.75,87.67,51.24,77.14,41.25
deeplabv3plus,CrossEntropy,95.96,84.71,37.23,87.22,89.51,53.75,80.7,52.7
deeplabv3plus,CrossEntropy,95.85,82.72,32.95,85.97,87.77,51.79,77.95,44.01
deeplabv3plus,CrossEntropy,96.01,84.06,34.61,86.84,89.37,52.93,79.21,47.21
deeplabv3plus,CrossEntropy,95.76,82.01,29.79,85.75,87.67,51.24,77.14,41.25
deeplabv3plus,CrossEntropy,95.96,84.71,37.23,87.22,89.51,53.75,80.7,52.7
