Model,Loss,Flat,Const.,Obj.,Nat.,Sky,Hum.,Veh.,mIoU
deeplabv3plus,Focal,0.77,0.51,0.4,0.7,0.9,0.46,0.59,0.58
deeplabv3plus,Focal,86.79,80.1,36.82,84.86,89.66,52.55,78.32,57.96
deeplabv3plus,Focal,96.08,85.47,39.76,87.56,89.66,57.04,82.14,57.96
deeplabv3plus,Focal,96.08,85.47,39.76,87.56,89.66,57.04,82.14,57.96
deeplabv3plus,Focal,96.0,83.42,35.15,86.43,88.17,55.27,80.55,51.57
deeplabv3plus,Focal,96.0,84.15,36.28,86.92,88.7,55.62,80.01,51.3
deeplabv3plus,Focal,95.88,82.79,33.99,86.25,88.05,53.95,78.68,47.35
deeplabv3plus,Focal,96.08,85.47,39.76,87.56,89.66,57.04,82.14,57.96
deeplabv3plus,Focal,96.0,83.42,35.15,86.43,88.17,55.27,80.55,51.57
deeplabv3plus,Focal,96.0,84.15,36.28,86.92,88.7,55.62,80.01,51.3
deeplabv3plus,Focal,95.88,82.79,33.99,86.25,88.05,53.95,78.68,47.35
deeplabv3plus,Focal,96.08,85.47,39.76,87.56,89.66,57.04,82.14,57.96
